Car_ID,Customer_ID,Car_Brand,Fuel_Type,Car_Type,Vehicule_Power,Car_Age,Mileage,Car_Price
1006041,23000943,Lotus,Diesel,,,8.0,,150862.35
1010352,23001436,Saab,Petrol,Sports Car,406.0,6.0,64419.0,193109.26
1024985,23002492,BMW,Diesel,SUV,232.0,6.0,62117.0,
1027521,23002523,Ford,Diesel,,334.0,,61938.0,167060.26
1036649,23004010,Lexus,,SUV,338.0,13.0,112471.0,151961.54
1037024,23004998,Mercedes-Benz,Electric,Crossover,229.0,9.0,88223.0,90548.69
1084529,23006262,BMW,Electric,Hatchback,,5.0,56132.0,59854.82
1086961,23006845,Dodge,,Sports Car,,8.0,,151048.52
1088407,23007509,Acura,Electric,SUV,279.0,7.0,,124081.87
1091239,23007524,,Electric,Coupe,124.0,2.0,28568.0,62957.86
1093354,23009191,Lotus,Electric,Convertible,302.0,,44415.0,145853.45
1096967,23011391,,Petrol,Minivan,167.0,,76029.0,75381.74
1102397,23016715,Jeep,Petrol,SUV,,12.0,109073.0,172954.12
1114703,23018171,Mitsubishi,,Pickup Truck,,6.0,,66845.38
1123290,23019076,Dodge,Petrol,SUV,139.0,5.0,54334.0,62865.31
1130093,23020853,Cadillac,Diesel,Crossover,145.0,,70557.0,60427.54
1134591,23021819,Saturn,,Crossover,346.0,,53036.0,
1144131,23023821,Ford,Petrol,,258.0,6.0,60127.0,117374.96
1151039,23024127,Ford,Petrol,Sports Car,363.0,6.0,67182.0,170341.01
1162078,23025179,,Petrol,SUV,174.0,4.0,43484.0,77143.05
1176211,23025809,Kia,Electric,SUV,,10.0,,34122.94
1179440,23027320,Dodge,Diesel,,256.0,,40185.0,126675.13
1181299,23028719,Buick,Petrol,,138.0,3.0,38042.0,
1193896,23030159,,Petrol,Crossover,220.0,7.0,72762.0,91883.82
1211367,23030447,,Petrol,,233.0,,87414.0,
1232774,23030758,,Petrol,Sedan,395.0,7.0,72257.0,175975.33
1244285,23033269,Kia,Diesel,,230.0,6.0,64738.0,
