Contract_ID,Customer_ID,Car_ID,Contract_length,Insurance_type,Cost_Per_Insurance_Type,Annual_premuim,Contract_Start_date
240100420,23000943,1006041,12.0,Collision Coverage,,,
240100634,23001436,1010352,18.0,Comprehensive Coverage,0.15,43571.58,2022-06-19
240101362,23002492,1024985,18.0,Liability Insurance,0.15,24753.54,2023-08-04
240105358,23002523,1027521,48.0,Liability Insurance,,,2020-12-12
240105555,23004010,1036649,60.0,,,76098.77,2023-01-20
240106847,23004998,1037024,60.0,Classic Car Insurance,0.02,9164.87,2023-04-17
240110148,23006262,1084529,60.0,Comprehensive Coverage,0.15,44987.12,
240111064,23006845,1086961,6.0,Collision Coverage,,18995.06,
240111956,23007509,1088407,12.0,Collision Coverage,0.25,31062.47,2020-09-18
240112045,23007524,1091239,,Liability Insurance,0.15,14265.52,2023-05-03
240112908,23009191,1093354,36.0,Liability Insurance,0.15,65742.05,2023-07-07
240114391,23011391,1096967,,,0.03,11353.26,2020-10-21
240116898,23016715,1102397,48.0,Personal Injury Protection (PIP),0.15,,2020-11-20
240118568,23018171,1114703,12.0,,,2131.36,
240119906,23019076,1123290,30.0,Collision Coverage,0.25,39332.82,2021-09-24
240120304,23020853,1130093,42.0,Liability Insurance,0.15,31876.46,2020-02-19
240121097,23021819,1134591,54.0,,0.15,116242.92,2021-01-22
240123926,23023821,1144131,30.0,Classic Car Insurance,0.02,,2020-06-14
240126150,23024127,1151039,54.0,Liability Insurance,0.15,115102.18,2020-08-15
240126553,23025179,1162078,,Comprehensive Coverage,0.15,52219.56,2021-10-01
240129573,23025809,1176211,6.0,Collision Coverage,0.25,4399.37,
240132997,23027320,1179440,30.0,Liability Insurance,0.15,,2021-04-11
240137356,23028719,1181299,42.0,Gap Insurance,,12262.52,2022-10-09
240137396,23030159,1193896,,Personal Injury Protection (PIP),0.15,34572.43,2022-11-28
240139046,23030447,1211367,54.0,,,49126.41,2022-10-06
240139299,23030758,1232774,,Comprehensive Coverage,0.15,118879.35,2021-05-19
240141202,23033269,1244285,12.0,Comprehensive Coverage,,15576.15,2023-06-14
240141966,23034645,1244984,30.0,Liability Insurance,0.15,38786.55,2020-02-14
240143045,23035220,1252537,,Collision Coverage,0.25,,2023-11-07
240143647,23035427,1253896,42.0,,,63209.66,2020-03-10
240144786,23036316,1276037,30.0,Uninsured/Underinsured Motorist,0.1,19510.74,
240148601,23036374,1292352,30.0,Liability Insurance,0.15,71352.63,2020-02-05
240148836,23037792,1294449,,,,18008.67,2022-03-21
240149133,23038861,1301412,24.0,,0.05,14256.05,2020-10-07
240149435,23040358,1306959,6.0,Comprehensive Coverage,0.15,7231.99,2021-11-08
240149449,23041276,1316454,12.0,Custom Parts and Equipment (CPE),0.03,,2023-02-12
240149583,23044764,1340778,,,0.15,41364.73,2021-03-12
240150867,23047093,1341049,42.0,Classic Car Insurance,0.02,8365.4,
240151658,23048512,1344394,60.0,Classic Car Insurance,0.02,17621.98,
240151976,23049522,1344493,18.0,Uninsured/Underinsured Motorist,0.1,21676.67,2023-05-18
240152825,23050245,1352211,60.0,Uninsured/Underinsured Motorist,0.1,55378.85,2020-06-19
240153032,23050518,1361250,,,0.15,12483.58,2023-01-02
240154495,23051170,1361645,,Gap Insurance,0.05,,2022-11-15
240155060,23052026,1361859,,,0.15,70117.29,
240155088,23053991,1368559,36.0,,0.15,102836.07,2022-01-18
240156826,23054621,1369344,54.0,Liability Insurance,0.15,65675.02,2021-09-06
240157066,23055282,1370088,30.0,Personal Injury Protection (PIP),0.15,,2020-09-13
240158364,23055553,1371102,,Liability Insurance,0.15,134031.12,2023-09-20
240158962,23057476,1389845,30.0,Liability Insurance,0.15,,2021-06-12
240159307,23060539,1397544,12.0,Gap Insurance,0.05,1283.97,2023-07-08
240159325,23061804,1404228,54.0,Liability Insurance,0.15,,2020-09-03
240159805,23061809,1409636,60.0,Uninsured/Underinsured Motorist,,82723.62,2020-03-05
240161159,23063541,1419700,18.0,Uninsured/Underinsured Motorist,0.1,8118.18,2022-04-10
240161368,23064303,1421117,,,0.15,19387.0,2021-07-07
240161994,23064309,1443807,54.0,Comprehensive Coverage,0.15,54511.35,2023-06-08
240163290,23064312,1445099,36.0,Classic Car Insurance,0.02,3842.43,2023-07-12
240163559,23071895,1451867,54.0,Uninsured/Underinsured Motorist,,71833.74,2021-08-13
240164299,23073424,1453215,,Liability Insurance,0.15,3862.1,2021-01-19
240164745,23073755,1482038,,Gap Insurance,0.05,1753.21,2022-02-01
240166349,23074509,1532083,24.0,Collision Coverage,,26771.93,
240166940,23074684,1538185,18.0,Liability Insurance,0.15,19828.31,2021-06-03
240170513,23075678,1560671,12.0,,0.02,3038.16,2020-01-15
240170669,23077113,1561568,54.0,Uninsured/Underinsured Motorist,0.1,41004.9,
240170963,23079696,1562110,60.0,Gap Insurance,,13401.97,2021-11-22
240173341,23081063,1564271,54.0,Gap Insurance,0.05,40960.24,2022-10-02
240175305,23083134,1564901,24.0,Classic Car Insurance,0.02,3961.41,
240176740,23085722,1567819,18.0,Liability Insurance,0.15,,2022-10-08
240176785,23086305,1572745,24.0,,0.03,5795.58,2021-08-28
240176796,23090618,1572950,30.0,Collision Coverage,0.25,,
240176887,23091435,1578155,48.0,,0.25,25128.32,2022-02-28
240177201,23092598,1582682,,Uninsured/Underinsured Motorist,0.1,31228.55,2022-02-12
240177738,23094015,1592120,6.0,Uninsured/Underinsured Motorist,0.1,,
240177792,23095113,1600122,,Comprehensive Coverage,,28504.88,2020-09-02
240178142,23096081,1648892,18.0,,0.25,54797.18,2022-03-21
240182950,23096620,1662215,18.0,Comprehensive Coverage,,,2022-01-26
240184457,23097136,1675725,60.0,Uninsured/Underinsured Motorist,0.1,40566.08,2020-08-28
240185829,23098401,1675894,54.0,Comprehensive Coverage,0.15,,2021-09-18
240186468,23098464,1678884,42.0,Collision Coverage,0.25,90938.44,2023-07-27
240186921,23098894,1681376,24.0,Comprehensive Coverage,0.15,,2020-04-18
240189439,23099438,1685299,30.0,Liability Insurance,0.15,36578.45,
240189631,23104304,1692015,,,0.15,29692.04,2023-10-12
240190872,23106042,1696476,12.0,Comprehensive Coverage,0.15,22640.31,2021-08-27
240191827,23106261,1702232,,Collision Coverage,0.25,19665.36,2020-05-13
240194932,23106268,1706663,12.0,,0.02,3255.47,
240195048,23106352,1710706,,Custom Parts and Equipment (CPE),0.03,18934.19,2023-07-11
240197897,23109346,1745877,60.0,Classic Car Insurance,0.02,11657.65,2023-06-15
240198181,23111274,1750558,,Liability Insurance,0.15,20181.63,2023-12-17
240201116,23111945,1751692,,,0.03,11443.64,
240202007,23112088,1752050,30.0,,0.05,10163.27,2020-02-08
240203542,23114774,1755097,24.0,Classic Car Insurance,,3847.56,2021-05-02
240203617,23115079,1763678,18.0,Collision Coverage,0.25,,
240203812,23115842,1764792,,,0.25,104129.52,2020-06-08
240205012,23116250,1771197,54.0,Custom Parts and Equipment (CPE),0.03,28454.18,2021-06-09
240205513,23117012,1775498,12.0,,,2301.66,2022-12-19
240206265,23118581,1777584,,Collision Coverage,,69733.83,2020-02-15
240207991,23122115,1781596,,Uninsured/Underinsured Motorist,0.1,61923.29,
240208661,23122772,1793618,54.0,Uninsured/Underinsured Motorist,,12521.22,2021-07-25
240209425,23122828,1798425,36.0,Comprehensive Coverage,0.15,75398.65,2022-04-06
240209785,23123960,1803663,,Collision Coverage,0.25,39468.09,2020-04-15
240210311,23124673,1817322,,Liability Insurance,0.15,,2020-08-05
240210527,23126513,1817823,24.0,Uninsured/Underinsured Motorist,0.1,,
240212261,23128760,1820346,42.0,Liability Insurance,0.15,27909.76,
240213665,23130581,1821173,12.0,Collision Coverage,,30495.68,2023-07-14
240213762,23130959,1827027,54.0,Liability Insurance,0.15,49323.49,2023-06-10
